Timestamp	Longitude	Latitude	Speed	Operatorname	Operator	CGI	Cellname	Node	CellID	LAC	NetworkTech	NetworkMode	Level	Qual	SNR	CQI	LTERSSI	ARFCN	DL_bitrate	UL_bitrate	PSC	Altitude	Height	Accuracy	Location	State	PINGAVG	PINGMIN	PINGMAX	PINGSTDEV	PINGLOSS	TESTDOWNLINK	TESTUPLINK	TESTDOWNLINKMAX	TESTUPLINKMAX	Test_Status	DataConnection_Type	DataConnection_Info	Layer	Filemark	IMEI	Distance	Bearing	IP	TA	EVENT	EVENTDETAILS	IMSI	MSISDN	SERVINGTIME	CELLHEX	NODEHEX	LACHEX	RAWCELLID	VERSION_NAME	VERSION_CODE	DEVICE	BAND	BANDWIDTH	INFO	SecondCell_NODE	SecondCell_CELLID	SecondCell_RSRP	SecondCell_RSRQ	SecondCell_SNR	CSI_RSRP	CSI_RSRQ	CSI_SNR	NetworkTypeNum	CA	SecondCell_PSC	SecondCell_ARFCN	SecondCell_BAND	Site_BEARING	BATTERY	CHARGING	NRSTATE	FOREGROUND	AVGSPEED	Update_newF	Update_oldF	R3	R4	R5	R6	R7	R8	R9	R10	NTech1	NCellName1	NCellid1	NLAC1	NCell1	NARFCN1	NRxLev1	NQual1	NDistance1	NBearing1	NTech2	NCellName2	NCellid2	NLAC2	NCell2	NARFCN2	NRxLev2	NQual2	NDistance2	NBearing2	NTech3	NCellName3	NCellid3	NLAC3	NCell3	NARFCN3	NRxLev3	NQual3	NDistance3	NBearing3	NTech4	NCellName4	NCellid4	NLAC4	NCell4	NARFCN4	NRxLev4	NQual4	NDistance4	NBearing4	NTech5	NCellName5	NCellid5	NLAC5	NCell5	NARFCN5	NRxLev5	NQual5	NDistance5	NBearing5	NTech6	NCellName6	NCellid6	NLAC6	NCell6	NARFCN6	NRxLev6	NQual6	NDistance6	NBearing6	NTech7	NCellName7	NCellid7	NLAC7	NCell7	NARFCN7	NRxLev7	NQual7	NDistance7	NBearing7	NTech8	NCellName8	NCellid8	NLAC8	NCell8	NARFCN8	NRxLev8	NQual8	NDistance8	NBearing8	NTech9	NCellName9	NCellid9	NLAC9	NCell9	NARFCN9	NRxLev9	NQual9	NDistance9	NBearing9	NTech10	NCellName10	NCellid10	NLAC10	NCell10	NARFCN10	NRxLev10	NQual10	NDistance10	NBearing10	NTech11	NCellName11	NCellid11	NLAC11	NCell11	NARFCN11	NRxLev11	NQual11	NDistance11	NBearing11	NTech12	NCellName12	NCellid12	NLAC12	NCell12	NARFCN12	NRxLev12	NQual12	NDistance12	NBearing12	NTech13	NCellName13	NCellid13	NLAC13	NCell13	NARFCN13	NRxLev13	NQual13	NDistance13	NBearing13	NTech14	NCellName14	NCellid14	NLAC14	NCell14	NARFCN14	NRxLev14	NQual14	NDistance14	NBearing14	NTech15	NCellName15	NCellid15	NLAC15	NCell15	NARFCN15	NRxLev15	NQual15	NDistance15	NBearing15	NTech16	NCellName16	NCellid16	NLAC16	NCell16	NARFCN16	NRxLev16	NQual16	NDistance16	NBearing16	NTech17	NCellName17	NCellid17	NLAC17	NCell17	NARFCN17	NRxLev17	NQual17	NDistance17	NBearing17	NTech18	NCellName18	NCellid18	NLAC18	NCell18	NARFCN18	NRxLev18	NQual18	NDistance18	NBearing18																																															
2026.03.12_13.36.09.897	16.57085436	49.2317465	0	SAZKAmobilCZ	23003	2.30034E+14		3087	3	38024	4G	4G	-81	-11	19	-	-50	1849	-1	-1	234	333	331	3	G	I													1			-1	1000			LOG START				312	3	C0F	9488	790275	33.3	631	Xiaomi:23113RKC6G:BP2A.250605.031.A3	L3	20										13	FALSE				1000	78	FALSE		TRUE	0	0	239									2G					985	-113				2G					1005	-113				2G					983	-113				2G					978	-113				2G					994	-113				2G					981	-113				2G					992	-113				2G					988	-113																																																																																																																																																						
2026.03.12_13.36.10.562	16.57085437	49.23174648	0	SAZKAmobilCZ	23003	2.30034E+14		3087	3	38024	4G	4G	-79	-11	19	-	-48	1849	-1	-1	234	333	331	3	G	I													1			-1	1000							313	3	C0F	9488	790275	33.3	631	Xiaomi:23113RKC6G:BP2A.250605.031.A3	L3	20										13	FALSE				1000	78	FALSE		TRUE	0	0	240									2G					985	-113				2G					1005	-113				2G					983	-113				2G					978	-113				2G					994	-113				2G					981	-113				2G					992	-113				2G					988	-113																																																																																																																																																						
2026.03.12_13.43.57.593	16.57103736	49.23127134	24	SAZKAmobilCZ	23003	2.30034E+14		3087	3	38024	4G	4G	-80	-9	21	-	-51	1849	-1	-1	234	331	329	3	G	I													1			-1	1000							760	3	C0F	9488	790275	33.3	631	Xiaomi:23113RKC6G:BP2A.250605.031.A3	L3	20										13	FALSE				1000	78	FALSE		FALSE	0	5	116									4G				235	1849	-92	-19			2G					985	-113				2G					1005	-113				2G					983	-113				2G					978	-113				2G					994	-113				2G					981	-113				2G					992	-113				2G					988	-113																																																																																																																																												
2026.03.12_13.44.09.575	16.57163106	49.23156403	44	SAZKAmobilCZ	23003	2.30034E+14		3087	3	38024	4G	4G	-76	-9	21	-	-47	1849	-1	-1	234	329	327	3	G	I													1			-1	1000							772	3	C0F	9488	790275	33.3	631	Xiaomi:23113RKC6G:BP2A.250605.031.A3	L3	20										13	FALSE				1000	78	FALSE		FALSE	0	8	128									4G				235	1849	-75	-6			2G					985	-113				2G					1005	-113				2G					983	-113				2G					978	-113				2G					994	-113				2G					981	-113				2G					992	-113				2G					988	-113																																																																																																																																												
2026.03.12_13.44.13.582	16.5720079	49.23196714	47	SAZKAmobilCZ	23003	2.30034E+14		3087	3	38024	4G	4G	-82	-13	21	-	-49	1849	-1	-1	234	328	326	3	G	I													1			-1	1000							776	3	C0F	9488	790275	33.3	631	Xiaomi:23113RKC6G:BP2A.250605.031.A3	L3	20										13	FALSE				1000	78	FALSE		FALSE	0	1	132									4G				235	1849	-83	-13			2G					985	-113				2G					1005	-113				2G					983	-113				2G					978	-113				2G					994	-113				2G					981	-113				2G					992	-113				2G					988	-113																																																																																																																																												
2026.03.12_13.44.17.583	16.57240183	49.23234266	45	SAZKAmobilCZ	23003	2.30034E+14		3087	3	38024	4G	4G	-82	-13	21	-	-49	1849	-1	-1	234	325	323	3	G	I													1			-1	1000							779	3	C0F	9488	790275	33.3	631	Xiaomi:23113RKC6G:BP2A.250605.031.A3	L3	20										13	FALSE				1000	78	FALSE		FALSE	0	5	136									4G				235	1849	-83	-13			2G					985	-113				2G					1005	-113				2G					983	-113				2G					978	-113				2G					994	-113				2G					981	-113				2G					992	-113				2G					988	-113																																																																																																																																												
2026.03.12_13.44.21.576	16.57303514	49.23256765	51	SAZKAmobilCZ	23003	2.30034E+14		3087	3	38024	4G	4G	-82	-13	21	-	-49	1849	-1	-1	234	322	320	3	G	I													1			-1	1000							783	3	C0F	9488	790275	33.3	631	Xiaomi:23113RKC6G:BP2A.250605.031.A3	L3	20										13	FALSE				1000	78	FALSE		FALSE	0	9	139									4G				235	1849	-83	-13			2G					985	-113				2G					1005	-113				2G					983	-113				2G					978	-113				2G					994	-113				2G					981	-113				2G					992	-113				2G					988	-113																																																																																																																																												
2026.03.12_13.44.21.700	16.57303514	49.23256765	51	SAZKAmobilCZ	23003	2.30034E+14		3087	2	38024	4G	4G	-87	-15	21	-	-52	1849	-1	-1	235	322	320	3	G	I													1			-1	1000			CELL_RESELECTION_4G4G	230-03-38024-3087-3-1849-234:230-03-38024-3087-2-1849-235			783	2	C0F	9488	790274	33.3	631	Xiaomi:23113RKC6G:BP2A.250605.031.A3	L3	20										13	FALSE				1000	78	FALSE		FALSE	0	0	140									4G				236	1849	-81	-12			2G					983	-113				2G					992	-113				2G					1005	-113				2G					994	-113				2G					981	-113				2G					984	-113				2G					978	-113				2G					989	-113																																																																																																																																												
2026.03.12_13.44.25.577	16.57384873	49.23266436	54	SAZKAmobilCZ	23003	2.30034E+14		3087	2	38024	4G	4G	-87	-15	21	-	-52	1849	-1	-1	235	320	318	3	G	I													1			-1	1000							4	2	C0F	9488	790274	33.3	631	Xiaomi:23113RKC6G:BP2A.250605.031.A3	L3	20										13	FALSE				1000	78	FALSE		FALSE	0	2	143									4G				236	1849	-81	-12			2G					983	-113				2G					992	-113				2G					1005	-113				2G					994	-113				2G					981	-113				2G					984	-113				2G					978	-113				2G					989	-113																																																																																																																																												
2026.03.12_13.44.29.592	16.57462113	49.23276756	50	SAZKAmobilCZ	23003	2.30034E+14		3087	2	38024	4G	4G	-87	-15	21	-	-52	1849	-1	-1	235	319	317	3	G	I													1			-1	1000							8	2	C0F	9488	790274	33.3	631	Xiaomi:23113RKC6G:BP2A.250605.031.A3	L3	20										13	FALSE				1000	78	FALSE		FALSE	0	7	147									4G				236	1849	-81	-12			2G					983	-113				2G					992	-113				2G					1005	-113				2G					994	-113				2G					981	-113				2G					984	-113				2G					978	-113				2G					989	-113																																																																																																																																												
