Timestamp	Longitude	Latitude	Speed	Operatorname	Operator	CGI	Cellname	Node	CellID	LAC	NetworkTech	NetworkMode	Level	Qual	SNR	CQI	LTERSSI	ARFCN	DL_bitrate	UL_bitrate	PSC	Altitude	Height	Accuracy	Location	State	PINGAVG	PINGMIN	PINGMAX	PINGSTDEV	PINGLOSS	TESTDOWNLINK	TESTUPLINK	TESTDOWNLINKMAX	TESTUPLINKMAX	Test_Status	DataConnection_Type	DataConnection_Info	Layer	Filemark	IMEI	Distance	Bearing	IP	TA	EVENT	EVENTDETAILS	IMSI	MSISDN	SERVINGTIME	CELLHEX	NODEHEX	LACHEX	RAWCELLID	VERSION_NAME	VERSION_CODE	DEVICE	BAND	BANDWIDTH	INFO	SecondCell_NODE	SecondCell_CELLID	SecondCell_RSRP	SecondCell_RSRQ	SecondCell_SNR	CSI_RSRP	CSI_RSRQ	CSI_SNR	NetworkTypeNum	CA	SecondCell_PSC	SecondCell_ARFCN	SecondCell_BAND	Site_BEARING	BATTERY	CHARGING	NRSTATE	FOREGROUND	AVGSPEED	Update_newF	Update_oldF	R3	R4	R5	R6	R7	R8	R9	R10	NTech1	NCellName1	NCellid1	NLAC1	NCell1	NARFCN1	NRxLev1	NQual1	NDistance1	NBearing1	NTech2	NCellName2	NCellid2	NLAC2	NCell2	NARFCN2	NRxLev2	NQual2	NDistance2	NBearing2	NTech3	NCellName3	NCellid3	NLAC3	NCell3	NARFCN3	NRxLev3	NQual3	NDistance3	NBearing3	NTech4	NCellName4	NCellid4	NLAC4	NCell4	NARFCN4	NRxLev4	NQual4	NDistance4	NBearing4	NTech5	NCellName5	NCellid5	NLAC5	NCell5	NARFCN5	NRxLev5	NQual5	NDistance5	NBearing5	NTech6	NCellName6	NCellid6	NLAC6	NCell6	NARFCN6	NRxLev6	NQual6	NDistance6	NBearing6	NTech7	NCellName7	NCellid7	NLAC7	NCell7	NARFCN7	NRxLev7	NQual7	NDistance7	NBearing7	NTech8	NCellName8	NCellid8	NLAC8	NCell8	NARFCN8	NRxLev8	NQual8	NDistance8	NBearing8	NTech9	NCellName9	NCellid9	NLAC9	NCell9	NARFCN9	NRxLev9	NQual9	NDistance9	NBearing9	NTech10	NCellName10	NCellid10	NLAC10	NCell10	NARFCN10	NRxLev10	NQual10	NDistance10	NBearing10	NTech11	NCellName11	NCellid11	NLAC11	NCell11	NARFCN11	NRxLev11	NQual11	NDistance11	NBearing11	NTech12	NCellName12	NCellid12	NLAC12	NCell12	NARFCN12	NRxLev12	NQual12	NDistance12	NBearing12	NTech13	NCellName13	NCellid13	NLAC13	NCell13	NARFCN13	NRxLev13	NQual13	NDistance13	NBearing13	NTech14	NCellName14	NCellid14	NLAC14	NCell14	NARFCN14	NRxLev14	NQual14	NDistance14	NBearing14	NTech15	NCellName15	NCellid15	NLAC15	NCell15	NARFCN15	NRxLev15	NQual15	NDistance15	NBearing15	NTech16	NCellName16	NCellid16	NLAC16	NCell16	NARFCN16	NRxLev16	NQual16	NDistance16	NBearing16	NTech17	NCellName17	NCellid17	NLAC17	NCell17	NARFCN17	NRxLev17	NQual17	NDistance17	NBearing17	NTech18	NCellName18	NCellid18	NLAC18	NCell18	NARFCN18	NRxLev18	NQual18	NDistance18	NBearing18																																															
2026.04.19_12.41.14.037	18.75875363	49.21285161	0	Orange_SK_–_SAZKAmobilCZ	23101	2.31013E+14		20332	51	26025	4G	4G	-87	-11	18	-	-56	2950	-1	-1	71	422	420	4	G	I													1			-1	1000			LOG START				33	33	4F6C	65A9	5205043	33.3	631	Xiaomi:23113RKC6G:BP2A.250605.031.A3	L7	20										13	FALSE				1000	99	FALSE		TRUE	0	0	16									4G				71	6300	-93	-12			4G				401	6300	-95	-11			4G				79	6300	-97	-16			2G					1	-113				2G				34	4	-113				2G					6	-113				2G					7	-113				2G					9	-113				2G					11	-113				2G					12	-113				2G					13	-113																																																																																																																								
2026.04.19_12.41.14.071	18.75876524	49.21285996	0	Orange_SK_–_SAZKAmobilCZ	23101	2.31013E+14		20332	51	26025	4G	4G	-87	-11	18	-	-56	2950	-1	-1	71	421	419	4	G	I													1			-1	1000							33	33	4F6C	65A9	5205043	33.3	631	Xiaomi:23113RKC6G:BP2A.250605.031.A3	L7	20										13	FALSE				1000	99	FALSE		TRUE	0	0	16									4G				71	6300	-93	-12			4G				401	6300	-95	-11			4G				79	6300	-97	-16			2G					1	-113				2G				34	4	-113				2G					6	-113				2G					7	-113				2G					9	-113				2G					11	-113				2G					12	-113				2G					13	-113																																																																																																																								
2026.04.19_12.43.33.088	18.75954046	49.21289292	29	Orange_SK_–_SAZKAmobilCZ	23101	2.31013E+14		20332	51	26025	4G	4G	-77	-8	20	-	-49	2950	-1	-1	71	400	398	3	G	I													1			-1	1000							166	33	4F6C	65A9	5205043	33.3	631	Xiaomi:23113RKC6G:BP2A.250605.031.A3	L7	20										13	FALSE				1000	99	FALSE		FALSE	0	6	57									4G				71	6300	-93	-12			4G				401	6300	-95	-11			4G				79	6300	-97	-16			2G					1	-113				2G				34	4	-113				2G					6	-113				2G					7	-113				2G					9	-113				2G					11	-113				2G					12	-113				2G					13	-113																																																																																																																								
2026.04.19_12.43.39.083	18.76013615	49.21313134	24	Orange_SK_–_SAZKAmobilCZ	23101	2.31013E+14		20332	51	26025	4G	4G	-95	-8	20	-	-67	2950	-1	-1	71	401	399	3	G	I													1			-1	1000							172	33	4F6C	65A9	5205043	33.3	631	Xiaomi:23113RKC6G:BP2A.250605.031.A3	L7	20										13	FALSE				1000	99	FALSE		FALSE	0	2	63									4G				71	6300	-93	-12			4G				401	6300	-95	-11			4G				79	6300	-97	-16			2G					1	-113				2G				34	4	-113				2G					6	-113				2G					7	-113				2G					9	-113				2G					11	-113				2G					12	-113				2G					13	-113																																																																																																																								
2026.04.19_12.43.51.089	18.75960827	49.21274658	33	Orange_SK_–_SAZKAmobilCZ	23101	2.31013E+14		20332	51	26025	4G	4G	-92	-8	20	-	-64	2950	-1	-1	71	399	397	3	G	I													1			-1	1000							183	33	4F6C	65A9	5205043	33.3	631	Xiaomi:23113RKC6G:BP2A.250605.031.A3	L7	20										13	FALSE				1000	99	FALSE		FALSE	0	3	74									4G				71	6300	-93	-12			4G				401	6300	-95	-11			4G				79	6300	-97	-16			2G					1	-113				2G				34	4	-113				2G					6	-113				2G					7	-113				2G					9	-113				2G					11	-113				2G					12	-113				2G					13	-113																																																																																																																								
2026.04.19_12.43.57.081	18.75884298	49.21263883	31	Orange_SK_–_SAZKAmobilCZ	23101	2.31013E+14		20332	51	26025	4G	4G	-77	-12	20	-	-45	2950	-1	-1	71	400	398	3	G	I													1			-1	1000							189	33	4F6C	65A9	5205043	33.3	631	Xiaomi:23113RKC6G:BP2A.250605.031.A3	L7	20										13	FALSE				1000	99	FALSE		FALSE	0	0	80									4G				71	6300	-93	-12			4G				401	6300	-95	-11			4G				79	6300	-97	-16			4G				52	2950	-106	-20			4G				60	2950	-107	-20			2G					1	-113				2G				34	4	-113				2G					6	-113				2G					7	-113				2G					9	-113				2G					11	-113				2G					12	-113				2G					13	-113																																																																																																				
2026.04.19_12.44.06.077	18.7587197	49.21218219	32	Orange_SK_–_SAZKAmobilCZ	23101	2.31013E+14		20332	51	26025	4G	4G	-77	-12	20	-	-45	2950	-1	-1	71	401	399	3	G	I													1			-1	1000							198	33	4F6C	65A9	5205043	33.3	631	Xiaomi:23113RKC6G:BP2A.250605.031.A3	L7	20										13	FALSE				1000	99	FALSE		FALSE	0	9	89									4G				71	6300	-93	-12			4G				401	6300	-95	-11			4G				79	6300	-97	-16			4G				52	2950	-106	-20			4G				60	2950	-107	-20			2G					1	-113				2G				34	4	-113				2G					6	-113				2G					7	-113				2G					9	-113				2G					11	-113				2G					12	-113				2G					13	-113																																																																																																				
2026.04.19_12.44.11.083	18.75914913	49.21174527	46	Orange_SK_–_SAZKAmobilCZ	23101	2.31013E+14		20332	51	26025	4G	4G	-87	-11	20	-	-56	2950	-1	-1	71	402	400	3	G	I													1			-1	1000							203	33	4F6C	65A9	5205043	33.3	631	Xiaomi:23113RKC6G:BP2A.250605.031.A3	L7	20										13	FALSE				1000	99	FALSE		FALSE	0	3	94									4G				71	6300	-93	-12			4G				401	6300	-95	-11			4G				79	6300	-97	-16			4G				52	2950	-106	-20			4G				60	2950	-107	-20			2G					1	-113				2G				34	4	-113				2G					6	-113				2G					7	-113				2G					9	-113				2G					11	-113				2G					12	-113				2G					13	-113																																																																																																				
2026.04.19_12.44.15.083	18.75956598	49.2113212	52	Orange_SK_–_SAZKAmobilCZ	23101	2.31013E+14		20332	51	26025	4G	4G	-87	-11	20	-	-56	2950	-1	-1	71	403	401	3	G	I													1			-1	1000							206	33	4F6C	65A9	5205043	33.3	631	Xiaomi:23113RKC6G:BP2A.250605.031.A3	L7	20										13	FALSE				1000	99	FALSE		FALSE	0	6	97									4G				71	6300	-93	-12			4G				401	6300	-95	-11			4G				79	6300	-97	-16			4G				52	2950	-106	-20			4G				60	2950	-107	-20			2G					1	-113				2G				34	4	-113				2G					6	-113				2G					7	-113				2G					9	-113				2G					11	-113				2G					12	-113				2G					13	-113																																																																																																				
2026.04.19_12.44.19.092	18.75999607	49.21088794	52	Orange_SK_–_SAZKAmobilCZ	23101	2.31013E+14		20332	51	26025	4G	4G	-86	-10	20	-	-56	2950	-1	-1	71	404	402	3	G	I													1			-1	1000							210	33	4F6C	65A9	5205043	33.3	631	Xiaomi:23113RKC6G:BP2A.250605.031.A3	L7	20										13	FALSE				1000	99	FALSE		FALSE	0	0	101									4G				71	6300	-93	-12			4G				401	6300	-95	-11			4G				60	2950	-97	-18			4G				79	6300	-97	-16			4G				52	2950	-99	-20			2G					1	-113				2G				34	4	-113				2G					6	-113				2G					7	-113				2G					9	-113				2G					11	-113				2G					12	-113				2G					13	-113																																																																																																				
