Timestamp	Longitude	Latitude	Speed	Operatorname	Operator	CGI	Cellname	Node	CellID	LAC	NetworkTech	NetworkMode	Level	Qual	SNR	CQI	LTERSSI	ARFCN	DL_bitrate	UL_bitrate	PSC	Altitude	Height	Accuracy	Location	State	PINGAVG	PINGMIN	PINGMAX	PINGSTDEV	PINGLOSS	TESTDOWNLINK	TESTUPLINK	TESTDOWNLINKMAX	TESTUPLINKMAX	Test_Status	DataConnection_Type	DataConnection_Info	Layer	Filemark	IMEI	Distance	Bearing	IP	TA	EVENT	EVENTDETAILS	IMSI	MSISDN	SERVINGTIME	CELLHEX	NODEHEX	LACHEX	RAWCELLID	VERSION_NAME	VERSION_CODE	DEVICE	BAND	BANDWIDTH	INFO	SecondCell_NODE	SecondCell_CELLID	SecondCell_RSRP	SecondCell_RSRQ	SecondCell_SNR	CSI_RSRP	CSI_RSRQ	CSI_SNR	NetworkTypeNum	CA	SecondCell_PSC	SecondCell_ARFCN	SecondCell_BAND	Site_BEARING	BATTERY	CHARGING	NRSTATE	FOREGROUND	AVGSPEED	Update_newF	Update_oldF	R3	R4	R5	R6	R7	R8	R9	R10	NTech1	NCellName1	NCellid1	NLAC1	NCell1	NARFCN1	NRxLev1	NQual1	NDistance1	NBearing1	NTech2	NCellName2	NCellid2	NLAC2	NCell2	NARFCN2	NRxLev2	NQual2	NDistance2	NBearing2	NTech3	NCellName3	NCellid3	NLAC3	NCell3	NARFCN3	NRxLev3	NQual3	NDistance3	NBearing3	NTech4	NCellName4	NCellid4	NLAC4	NCell4	NARFCN4	NRxLev4	NQual4	NDistance4	NBearing4	NTech5	NCellName5	NCellid5	NLAC5	NCell5	NARFCN5	NRxLev5	NQual5	NDistance5	NBearing5	NTech6	NCellName6	NCellid6	NLAC6	NCell6	NARFCN6	NRxLev6	NQual6	NDistance6	NBearing6	NTech7	NCellName7	NCellid7	NLAC7	NCell7	NARFCN7	NRxLev7	NQual7	NDistance7	NBearing7	NTech8	NCellName8	NCellid8	NLAC8	NCell8	NARFCN8	NRxLev8	NQual8	NDistance8	NBearing8	NTech9	NCellName9	NCellid9	NLAC9	NCell9	NARFCN9	NRxLev9	NQual9	NDistance9	NBearing9	NTech10	NCellName10	NCellid10	NLAC10	NCell10	NARFCN10	NRxLev10	NQual10	NDistance10	NBearing10	NTech11	NCellName11	NCellid11	NLAC11	NCell11	NARFCN11	NRxLev11	NQual11	NDistance11	NBearing11	NTech12	NCellName12	NCellid12	NLAC12	NCell12	NARFCN12	NRxLev12	NQual12	NDistance12	NBearing12	NTech13	NCellName13	NCellid13	NLAC13	NCell13	NARFCN13	NRxLev13	NQual13	NDistance13	NBearing13	NTech14	NCellName14	NCellid14	NLAC14	NCell14	NARFCN14	NRxLev14	NQual14	NDistance14	NBearing14	NTech15	NCellName15	NCellid15	NLAC15	NCell15	NARFCN15	NRxLev15	NQual15	NDistance15	NBearing15	NTech16	NCellName16	NCellid16	NLAC16	NCell16	NARFCN16	NRxLev16	NQual16	NDistance16	NBearing16	NTech17	NCellName17	NCellid17	NLAC17	NCell17	NARFCN17	NRxLev17	NQual17	NDistance17	NBearing17	NTech18	NCellName18	NCellid18	NLAC18	NCell18	NARFCN18	NRxLev18	NQual18	NDistance18	NBearing18																																															
2026.03.15_13.14.39.228	18.75902257	49.21272212	0	Orange_SK_–_SAZKAmobilCZ	23101	2.31013E+14		20332	51	26025	4G	4G	-77	-10	22	-	-47	2950	-1	-1	71	372	370	3	G	I													1			-1	1000			LOG START				103	33	4F6C	65A9	5205043	33.3	631	Xiaomi:23113RKC6G:BP2A.250605.031.A3	L7	20										13	FALSE				1000	82	FALSE		TRUE	0	0	101									2G					1	-113				2G				34	4	-113				2G					6	-113				2G					7	-113				2G					9	-113				2G					11	-113				2G					12	-113				2G					13	-113																																																																																																																																																						
2026.03.15_13.14.39.335	18.75902505	49.21272231	0	Orange_SK_–_SAZKAmobilCZ	23101	2.31013E+14		20332	51	26025	4G	4G	-77	-10	22	-	-47	2950	-1	-1	71	394	392	3	G	I													1			-1	1000							103	33	4F6C	65A9	5205043	33.3	631	Xiaomi:23113RKC6G:BP2A.250605.031.A3	L7	20										13	FALSE				1000	82	FALSE		TRUE	0	0	101									2G					1	-113				2G				34	4	-113				2G					6	-113				2G					7	-113				2G					9	-113				2G					11	-113				2G					12	-113				2G					13	-113																																																																																																																																																						
2026.03.15_13.27.58.367	18.75968375	49.21292157	21	Orange_SK_–_SAZKAmobilCZ	23101	2.31013E+14		20332	51	26025	4G	4G	-85	-11	23	-	-54	2950	-1	-1	71	394	392	3	G	I													1			-1	1000							868	33	4F6C	65A9	5205043	33.3	631	Xiaomi:23113RKC6G:BP2A.250605.031.A3	L7	20										13	FALSE				1000	82	FALSE		FALSE	0	2	30									2G					1	-113				2G				34	4	-113				2G					6	-113				2G					7	-113				2G					9	-113				2G					11	-113				2G					12	-113				2G					13	-113																																																																																																																																																						
2026.03.15_13.28.06.354	18.76032055	49.21313675	19	Orange_SK_–_SAZKAmobilCZ	23101	2.31013E+14		20332	51	26025	4G	4G	-88	-14	23	-	-54	2950	-1	-1	71	393	391	3	G	I													1			-1	1000							876	33	4F6C	65A9	5205043	33.3	631	Xiaomi:23113RKC6G:BP2A.250605.031.A3	L7	20										13	FALSE				1000	82	FALSE		FALSE	0	0	38									2G					1	-113				2G				34	4	-113				2G					6	-113				2G					7	-113				2G					9	-113				2G					11	-113				2G					12	-113				2G					13	-113																																																																																																																																																						
2026.03.15_13.28.14.366	18.75983972	49.21280908	37	Orange_SK_–_SAZKAmobilCZ	23101	2.31013E+14		20332	51	26025	4G	4G	-88	-14	23	-	-54	2950	-1	-1	71	392	390	3	G	I													1			-1	1000							884	33	4F6C	65A9	5205043	33.3	631	Xiaomi:23113RKC6G:BP2A.250605.031.A3	L7	20										13	FALSE				1000	82	FALSE		FALSE	0	8	46									2G					1	-113				2G				34	4	-113				2G					6	-113				2G					7	-113				2G					9	-113				2G					11	-113				2G					12	-113				2G					13	-113																																																																																																																																																						
2026.03.15_13.28.19.360	18.75905257	49.21265398	47	Orange_SK_–_SAZKAmobilCZ	23101	2.31013E+14		20332	51	26025	4G	4G	-89	-9	23	-	-60	2950	-1	-1	71	392	390	3	G	I													1			-1	1000							888	33	4F6C	65A9	5205043	33.3	631	Xiaomi:23113RKC6G:BP2A.250605.031.A3	L7	20										13	FALSE				1000	82	FALSE		FALSE	0	2	50									2G					1	-113				2G				34	4	-113				2G					6	-113				2G					7	-113				2G					9	-113				2G					11	-113				2G					12	-113				2G					13	-113																																																																																																																																																						
2026.03.15_13.28.23.352	18.75838591	49.21278444	45	Orange_SK_–_SAZKAmobilCZ	23101	2.31013E+14		20332	51	26025	4G	4G	-89	-9	23	-	-60	2950	-1	-1	71	392	390	3	G	I													1			-1	1000							892	33	4F6C	65A9	5205043	33.3	631	Xiaomi:23113RKC6G:BP2A.250605.031.A3	L7	20										13	FALSE				1000	82	FALSE		FALSE	0	6	54									2G					1	-113				2G				34	4	-113				2G					6	-113				2G					7	-113				2G					9	-113				2G					11	-113				2G					12	-113				2G					13	-113																																																																																																																																																						
2026.03.15_13.28.27.359	18.75789293	49.21314851	50	Orange_SK_–_SAZKAmobilCZ	23101	2.31013E+14		20332	51	26025	4G	4G	-80	-8	23	-	-52	2950	-1	-1	71	392	390	3	G	I													1			-1	1000							896	33	4F6C	65A9	5205043	33.3	631	Xiaomi:23113RKC6G:BP2A.250605.031.A3	L7	20										13	FALSE				1000	82	FALSE		FALSE	0	0	58									2G					1	-113				2G				34	4	-113				2G					6	-113				2G					7	-113				2G					9	-113				2G					11	-113				2G					12	-113				2G					13	-113																																																																																																																																																						
2026.03.15_13.28.31.363	18.75746924	49.2135976	53	Orange_SK_–_SAZKAmobilCZ	23101	2.31013E+14		20332	51	26025	4G	4G	-80	-8	23	-	-52	2950	-1	-1	71	392	390	3	G	I													1			-1	1000							900	33	4F6C	65A9	5205043	33.3	631	Xiaomi:23113RKC6G:BP2A.250605.031.A3	L7	20										13	FALSE				1000	82	FALSE		FALSE	0	4	62									2G					1	-113				2G				34	4	-113				2G					6	-113				2G					7	-113				2G					9	-113				2G					11	-113				2G					12	-113				2G					13	-113																																																																																																																																																						
2026.03.15_13.28.35.357	18.75700846	49.21404101	54	Orange_SK_–_SAZKAmobilCZ	23101	2.31013E+14		20332	51	26025	4G	4G	-80	-8	23	-	-52	2950	-1	-1	71	391	389	3	G	I													1			-1	1000							904	33	4F6C	65A9	5205043	33.3	631	Xiaomi:23113RKC6G:BP2A.250605.031.A3	L7	20										13	FALSE				1000	82	FALSE		FALSE	0	8	66									2G					1	-113				2G				34	4	-113				2G					6	-113				2G					7	-113				2G					9	-113				2G					11	-113				2G					12	-113				2G					13	-113																																																																																																																																																						
2026.03.15_13.28.39.354	18.75640575	49.21440843	52	Orange_SK_–_SAZKAmobilCZ	23101	2.31013E+14		20332	51	26025	4G	4G	-87	-8	23	-	-59	2950	-1	-1	71	390	388	3	G	I													1			-1	1000							908	33	4F6C	65A9	5205043	33.3	631	Xiaomi:23113RKC6G:BP2A.250605.031.A3	L7	20										13	FALSE				1000	82	FALSE		FALSE	0	2	70									2G					1	-113				2G				34	4	-113				2G					6	-113				2G					7	-113				2G					9	-113				2G					11	-113				2G					12	-113				2G					13	-113																																																																																																																																																						
2026.03.15_13.28.43.350	18.75568784	49.21458424	48	Orange_SK_–_SAZKAmobilCZ	23101	2.31013E+14		20332	51	26025	4G	4G	-87	-8	23	-	-59	2950	-1	-1	71	390	388	3	G	I													1			-1	1000							911	33	4F6C	65A9	5205043	33.3	631	Xiaomi:23113RKC6G:BP2A.250605.031.A3	L7	20										13	FALSE				1000	82	FALSE		FALSE	0	6	73									2G					1	-113				2G				34	4	-113				2G					6	-113				2G					7	-113				2G					9	-113				2G					11	-113				2G					12	-113				2G					13	-113																																																																																																																																																						
2026.03.15_13.28.47.365	18.75499515	49.21456048	44	Orange_SK_–_SAZKAmobilCZ	23101	2.31013E+14		20332	51	26025	4G	4G	-87	-8	23	-	-59	2950	-1	-1	71	390	388	3	G	I													1			-1	1000							915	33	4F6C	65A9	5205043	33.3	631	Xiaomi:23113RKC6G:BP2A.250605.031.A3	L7	20										13	FALSE				1000	82	FALSE		FALSE	0	9	77									2G					1	-113				2G				34	4	-113				2G					6	-113				2G					7	-113				2G					9	-113				2G					11	-113				2G					12	-113				2G					13	-113																																																																																																																																																						
2026.03.15_13.28.52.380	18.75420217	49.21433396	47	Orange_SK_–_SAZKAmobilCZ	23101	2.31013E+14		20332	51	26025	4G	4G	-84	-8	23	-	-56	2950	-1	-1	71	390	388	3	G	I													1			-1	1000							920	33	4F6C	65A9	5205043	33.3	631	Xiaomi:23113RKC6G:BP2A.250605.031.A3	L7	20										13	FALSE				1000	82	FALSE		FALSE	0	4	82									4G				401	2950	-96	-12			2G					1	-113				2G				34	4	-113				2G					6	-113				2G					7	-113				2G					9	-113				2G					11	-113				2G					12	-113				2G					13	-113																																																																																																																																												
2026.03.15_13.28.56.362	18.75356934	49.21407572	47	Orange_SK_–_SAZKAmobilCZ	23101	2.31013E+14		20332	51	26025	4G	4G	-84	-8	23	-	-56	2950	-1	-1	71	390	388	3	G	I													1			-1	1000							924	33	4F6C	65A9	5205043	33.3	631	Xiaomi:23113RKC6G:BP2A.250605.031.A3	L7	20										13	FALSE				1000	82	FALSE		FALSE	0	8	86									4G				401	2950	-96	-12			2G					1	-113				2G				34	4	-113				2G					6	-113				2G					7	-113				2G					9	-113				2G					11	-113				2G					12	-113				2G					13	-113																																																																																																																																												
2026.03.15_13.29.00.355	18.75297868	49.2138263	45	Orange_SK_–_SAZKAmobilCZ	23101	2.31013E+14		20332	51	26025	4G	4G	-95	-13	23	-	-62	2950	-1	-1	71	390	388	3	G	I													1			-1	1000							928	33	4F6C	65A9	5205043	33.3	631	Xiaomi:23113RKC6G:BP2A.250605.031.A3	L7	20										13	FALSE				1000	82	FALSE		FALSE	0	2	90									4G				401	2950	-90	-12			4G				87	2950	-98	-19			2G					1	-113				2G				34	4	-113				2G					6	-113				2G					7	-113				2G					9	-113				2G					11	-113				2G					12	-113				2G					13	-113																																																																																																																																		
2026.03.15_13.29.05.347	18.75234258	49.21348755	41	Orange_SK_–_SAZKAmobilCZ	23101	2.31013E+14		20332	51	26025	4G	4G	-95	-13	23	-	-62	2950	-1	-1	71	392	390	3	G	I													1			-1	1000							933	33	4F6C	65A9	5205043	33.3	631	Xiaomi:23113RKC6G:BP2A.250605.031.A3	L7	20										13	FALSE				1000	82	FALSE		FALSE	0	7	95									4G				401	2950	-90	-12			4G				87	2950	-98	-19			2G					1	-113				2G				34	4	-113				2G					6	-113				2G					7	-113				2G					9	-113				2G					11	-113				2G					12	-113				2G					13	-113																																																																																																																																		
2026.03.15_13.29.08.389	18.75234258	49.21348755	41	Orange_SK_–_SAZKAmobilCZ	23101	2.31013E+14		21920	51	26025	4G	4G	-75	-8	23	-	-47	2950	-1	-1	401	392	390	3	G	I													1			-1	1000			CELL_RESELECTION_4G4G	231-01-26025-20332-51-2950-71:231-01-26025-21920-51-2950-401			935	33	55A0	65A9	5611571	33.3	631	Xiaomi:23113RKC6G:BP2A.250605.031.A3	L7	20										13	FALSE				1000	82	FALSE		FALSE	0	0	98									4G				71	2950	-97	-19			2G					2	-113				2G				34	4	-113				2G					6	-113				2G					7	-113				2G					9	-113				2G					11	-113				2G					13	-113				2G					14	-113																																																																																																																																												
