Timestamp	Longitude	Latitude	Speed	Operatorname	Operator	CGI	Cellname	Node	CellID	LAC	NetworkTech	NetworkMode	Level	Qual	SNR	CQI	LTERSSI	ARFCN	DL_bitrate	UL_bitrate	PSC	Altitude	Height	Accuracy	Location	State	PINGAVG	PINGMIN	PINGMAX	PINGSTDEV	PINGLOSS	TESTDOWNLINK	TESTUPLINK	TESTDOWNLINKMAX	TESTUPLINKMAX	Test_Status	DataConnection_Type	DataConnection_Info	Layer	Filemark	IMEI	Distance	Bearing	IP	TA	EVENT	EVENTDETAILS	IMSI	MSISDN	SERVINGTIME	CELLHEX	NODEHEX	LACHEX	RAWCELLID	VERSION_NAME	VERSION_CODE	DEVICE	BAND	BANDWIDTH	INFO	SecondCell_NODE	SecondCell_CELLID	SecondCell_RSRP	SecondCell_RSRQ	SecondCell_SNR	CSI_RSRP	CSI_RSRQ	CSI_SNR	NetworkTypeNum	CA	SecondCell_PSC	SecondCell_ARFCN	SecondCell_BAND	Site_BEARING	BATTERY	CHARGING	NRSTATE	FOREGROUND	AVGSPEED	Update_newF	Update_oldF	R3	R4	R5	R6	R7	R8	R9	R10	NTech1	NCellName1	NCellid1	NLAC1	NCell1	NARFCN1	NRxLev1	NQual1	NDistance1	NBearing1	NTech2	NCellName2	NCellid2	NLAC2	NCell2	NARFCN2	NRxLev2	NQual2	NDistance2	NBearing2	NTech3	NCellName3	NCellid3	NLAC3	NCell3	NARFCN3	NRxLev3	NQual3	NDistance3	NBearing3	NTech4	NCellName4	NCellid4	NLAC4	NCell4	NARFCN4	NRxLev4	NQual4	NDistance4	NBearing4	NTech5	NCellName5	NCellid5	NLAC5	NCell5	NARFCN5	NRxLev5	NQual5	NDistance5	NBearing5	NTech6	NCellName6	NCellid6	NLAC6	NCell6	NARFCN6	NRxLev6	NQual6	NDistance6	NBearing6	NTech7	NCellName7	NCellid7	NLAC7	NCell7	NARFCN7	NRxLev7	NQual7	NDistance7	NBearing7	NTech8	NCellName8	NCellid8	NLAC8	NCell8	NARFCN8	NRxLev8	NQual8	NDistance8	NBearing8	NTech9	NCellName9	NCellid9	NLAC9	NCell9	NARFCN9	NRxLev9	NQual9	NDistance9	NBearing9	NTech10	NCellName10	NCellid10	NLAC10	NCell10	NARFCN10	NRxLev10	NQual10	NDistance10	NBearing10	NTech11	NCellName11	NCellid11	NLAC11	NCell11	NARFCN11	NRxLev11	NQual11	NDistance11	NBearing11	NTech12	NCellName12	NCellid12	NLAC12	NCell12	NARFCN12	NRxLev12	NQual12	NDistance12	NBearing12	NTech13	NCellName13	NCellid13	NLAC13	NCell13	NARFCN13	NRxLev13	NQual13	NDistance13	NBearing13	NTech14	NCellName14	NCellid14	NLAC14	NCell14	NARFCN14	NRxLev14	NQual14	NDistance14	NBearing14	NTech15	NCellName15	NCellid15	NLAC15	NCell15	NARFCN15	NRxLev15	NQual15	NDistance15	NBearing15	NTech16	NCellName16	NCellid16	NLAC16	NCell16	NARFCN16	NRxLev16	NQual16	NDistance16	NBearing16	NTech17	NCellName17	NCellid17	NLAC17	NCell17	NARFCN17	NRxLev17	NQual17	NDistance17	NBearing17	NTech18	NCellName18	NCellid18	NLAC18	NCell18	NARFCN18	NRxLev18	NQual18	NDistance18	NBearing18
2026.04.12_13.32.40.370	16.60495761	49.19795476	0	SAZKAmobilCZ	23003	2.30034E+14		2425	1	38023	4G	4G	-69	-6	18	-	-43	1849	-1	-1	314	270	268	3	G	I													1			-1	1000			LOG START				33	1	979	9487	620801	33.3	631	Xiaomi:23113RKC6G:BP2A.250605.031.A3	L3	20										13	FALSE				1000	94	FALSE		TRUE	0	0	31									4G				314	6400	-62	-11			4G				289	6400	-65	-10			4G				250	300	-93	-12			2G					0	-113				2G					1007	-113				2G					998	-113				2G					986	-113				2G					1000	-113				2G					993	-113				2G					995	-113				2G				57	979	-71																																																																									
2026.04.12_13.32.41.044	16.60495764	49.19795623	0	SAZKAmobilCZ	23003	2.30034E+14		2425	1	38023	4G	4G	-69	-6	18	-	-43	1849	-1	-1	314	269	267	3	G	I													1			-1	1000							34	1	979	9487	620801	33.3	631	Xiaomi:23113RKC6G:BP2A.250605.031.A3	L3	20										13	FALSE				1000	94	FALSE		TRUE	0	1	32									4G				314	6400	-62	-11			4G				289	6400	-65	-10			4G				250	300	-93	-12			2G					0	-113				2G					1007	-113				2G					998	-113				2G					986	-113				2G					1000	-113				2G					993	-113				2G					995	-113				2G				57	979	-71																																																																									
2026.04.12_13.32.42.051	16.60495821	49.19795252	0	SAZKAmobilCZ	23003	2.30034E+14		2425	1	38023	4G	4G	-65	-8	18	-	-37	1849	-1	-1	314	269	267	3	G	I													1			-1	1000							34	1	979	9487	620801	33.3	631	Xiaomi:23113RKC6G:BP2A.250605.031.A3	L3	20										13	FALSE				1000	94	FALSE		TRUE	0	0	33									4G				314	6400	-62	-11			4G				289	6400	-65	-10			4G				250	300	-93	-12			2G					0	-113				2G					1007	-113				2G					998	-113				2G					986	-113				2G					1000	-113				2G					993	-113				2G					995	-113				2G				57	979	-71																																																																									
2026.04.12_13.32.43.034	16.6049549	49.19795367	0	SAZKAmobilCZ	23003	2.30034E+14		2425	1	38023	4G	4G	-65	-8	18	-	-37	1849	-1	-1	314	269	267	3	G	I													1			-1	1000							35	1	979	9487	620801	33.3	631	Xiaomi:23113RKC6G:BP2A.250605.031.A3	L3	20										13	FALSE				1000	94	FALSE		TRUE	0	0	33									4G				314	6400	-62	-11			4G				289	6400	-65	-10			4G				250	300	-93	-12			2G					0	-113				2G					1007	-113				2G					998	-113				2G					986	-113				2G					1000	-113				2G					993	-113				2G					995	-113				2G				57	979	-71																																																																									
2026.04.12_13.32.43.086	16.6049549	49.19795367	0	SAZKAmobilCZ	23003	2.30034E+14		2425	1	38023	4G	4G	-65	-8	18	-	-37	1849	-1	-1	314	269	267	3	G	I													1			-1	1000			PERIODIC				36	1	979	9487	620801	33.3	631	Xiaomi:23113RKC6G:BP2A.250605.031.A3	L3	20										13	FALSE				1000	94	FALSE		TRUE	0	1	34									4G				314	6400	-62	-11			4G				289	6400	-65	-10			4G				250	300	-93	-12			2G					0	-113				2G					1007	-113				2G					998	-113				2G					986	-113				2G					1000	-113				2G					993	-113				2G					995	-113				2G				57	979	-71																																																																									
2026.04.12_13.32.44.070	16.60494778	49.19795199	0	SAZKAmobilCZ	23003	2.30034E+14		2425	1	38023	4G	4G	-65	-8	18	-	-37	1849	-1	-1	314	269	267	3	G	I													1			-1	1000							36	1	979	9487	620801	33.3	631	Xiaomi:23113RKC6G:BP2A.250605.031.A3	L3	20										13	FALSE				1000	94	FALSE		FALSE	0	1	34									4G				314	6400	-62	-11			4G				289	6400	-65	-10			4G				250	300	-93	-12			2G					0	-113				2G					1007	-113				2G					998	-113				2G					986	-113				2G					1000	-113				2G					993	-113				2G					995	-113				2G				57	979	-71																																																																									
2026.04.12_13.32.45.078	16.60494815	49.19794877	0	SAZKAmobilCZ	23003	2.30034E+14		2425	1	38023	4G	4G	-65	-8	18	-	-37	1849	-1	-1	314	270	268	3	G	I													1			-1	1000							37	1	979	9487	620801	33.3	631	Xiaomi:23113RKC6G:BP2A.250605.031.A3	L3	20										13	FALSE				1000	94	FALSE		FALSE	0	2	35									4G				314	6400	-62	-11			4G				289	6400	-65	-10			4G				250	300	-93	-12			2G					0	-113				2G					1007	-113				2G					998	-113				2G					986	-113				2G					1000	-113				2G					993	-113				2G					995	-113				2G				57	979	-71																																																																									
2026.04.12_13.32.46.067	16.6049523	49.19794935	0	SAZKAmobilCZ	23003	2.30034E+14		2425	1	38023	4G	4G	-65	-8	18	-	-37	1849	-1	-1	314	270	268	3	G	I													1			-1	1000							38	1	979	9487	620801	33.3	631	Xiaomi:23113RKC6G:BP2A.250605.031.A3	L3	20										13	FALSE				1000	94	FALSE		FALSE	0	3	36									4G				314	6400	-62	-11			4G				289	6400	-65	-10			4G				250	300	-93	-12			2G					0	-113				2G					1007	-113				2G					998	-113				2G					986	-113				2G					1000	-113				2G					993	-113				2G					995	-113				2G				57	979	-71																																																																									
2026.04.12_13.32.46.342	16.6049523	49.19794935	0	SAZKAmobilCZ	23003	2.30034E+14		2425	1	38023	4G	4G	-65	-8	18	-	-37	1849	-1	-1	314	270	268	3	G	I													1			-1	1000			PERIODIC				39	1	979	9487	620801	33.3	631	Xiaomi:23113RKC6G:BP2A.250605.031.A3	L3	20										13	FALSE				1000	94	FALSE		FALSE	0	4	37									4G				314	6400	-62	-11			4G				289	6400	-65	-10			4G				250	300	-93	-12			2G					0	-113				2G					1007	-113				2G					998	-113				2G					986	-113				2G					1000	-113				2G					993	-113				2G					995	-113				2G				57	979	-71																																																																									
2026.04.12_13.32.47.074	16.6049524	49.19794894	0	SAZKAmobilCZ	23003	2.30034E+14		2425	1	38023	4G	4G	-65	-8	18	-	-37	1849	-1	-1	314	270	268	3	G	I													1			-1	1000							39	1	979	9487	620801	33.3	631	Xiaomi:23113RKC6G:BP2A.250605.031.A3	L3	20										13	FALSE				1000	94	FALSE		FALSE	0	4	37									4G				314	6400	-62	-11			4G				289	6400	-65	-10			4G				250	300	-93	-12			2G					0	-113				2G					1007	-113				2G					998	-113				2G					986	-113				2G					1000	-113				2G					993	-113				2G					995	-113				2G				57	979	-71																																																																									
